,mmsi
0,351182000
1,219117000
2,373702000
3,636019057
4,565156000
5,405000240
6,355489000
7,374226000
8,636017422
9,305738000
10,563002700
11,373059000
12,538005750
13,441777000
14,229126000
15,564354000
16,636019611
17,574416000
18,413696980
19,248904000
20,374874000
21,305470000
22,477809400
23,565127000
24,312058000
25,563984000
26,229554000
27,357097000
28,412029000
29,373133000
30,311000725
31,636013530
32,477835500
33,372629000
34,370295000
35,352920000
36,636017389
37,477950800
38,477264600
39,564407000
40,477183200
41,477716400
42,355677000
43,431049000
44,354872000
45,538006509
46,538009120
47,212563000
48,357661000
49,373220000
50,477767900
51,209690000
52,538009437
53,357420000
54,477209100
55,564812000
56,538009164
57,636020525
58,564820000
59,533180218
60,566977000
61,305146000
62,370164000
63,304342000
64,371290000
65,636019915
66,538002624
67,212301000
68,636013143
69,574244000
70,636017670
71,564241000
72,357610000
73,538009333
74,636092866
75,353005000
76,636020136
77,538003993
78,215499000
79,636091916
80,636018699
81,538007190
82,416257000
83,538003886
84,432969000
85,255805672
86,636015512
87,567025000
88,351177000
89,240963000
90,548704000
91,431986000
92,566605000
93,636021356
94,567598000
95,311064800
96,477654900
97,538004912
98,354265000
99,525015658
100,538004415
101,564798000
102,354321000
103,538009002
104,574001610
105,354959000
106,563160700
107,538006748
108,305756000
109,511100524
110,256668000
111,636018036
112,414072000
113,353999000
114,477105600
115,636021348
116,477230200
117,463046101
118,370385000
119,355609000
120,636018362
121,353637000
122,636019070
123,356217000
124,372854000
125,538004090
126,477043400
127,311000614
128,574470000
129,567999993
130,574001800
131,572996210
132,352986179
133,357244000
134,538004329
135,440090000
136,548854000
137,249717000
138,506005400
139,405000246
140,636015480
141,636021108
142,305969000
143,355690000
144,304200000
145,538008187
146,372390000
147,636018378
148,228342900
149,209786000
150,215069000
151,542399110
152,416465000
153,229395000
154,636019342
155,373183000
156,538002591
157,212715000
158,352948000
159,563008700
160,477282300
161,538008587
162,357103000
163,353358000
164,477010800
165,477203600
166,351877000
167,538007453
168,305885000
169,354594000
170,574000940
171,477958800
172,525023136
173,636017579
174,538004739
175,357131000
176,636018987
177,353090000
178,477765800
179,477157900
180,370577000
181,244848000
182,511826000
183,373821000
184,374353000
185,351160000
186,477616000
187,538007977
188,563128600
189,312130000
190,351965000
191,441398000
192,312617000
193,477833900
194,352368000
195,636021192
196,477302500
197,305126000
198,352566000
199,538006096
200,372164000
201,636017992
202,477091600
203,566482000
204,232012746
205,538005284
206,311000342
207,305865000
208,357178000
209,477541100
210,548897000
211,422041300
212,574012592
213,477010700
214,414199000
215,352396000
216,229062000
217,636014802
218,210895000
219,636020794
220,564599000
221,563169400
222,548946000
223,574137000
224,353467000
225,305824000
226,374634000
227,566645000
228,636019769
229,209888000
230,374212000
231,538008974
232,355800000
233,357045000
234,357005000
235,563126900
236,477664500
237,353730000
238,257088990
239,477634100
240,538006335
241,431978000
242,413996000
243,372917000
244,563078500
245,538006677
246,567447000
247,538009602
248,563166800
249,567000023
250,636015094
251,538004542
252,311000777
253,477348200
254,477337000
255,574389000
256,636017506
257,352787000
258,477280900
259,636018023
260,210214000
261,257087080
262,477049800
263,431332000
264,477900700
265,538002203
266,538004477
267,309362000
268,563073100
269,354950000
270,538009076
271,601684700
272,352391000
273,574469000
274,574001410
275,563161800
276,305854000
277,373680000
278,538007484
279,372638000
280,566957000
281,414413000
282,371906000
283,538008509
284,533170047
285,636020361
286,416426000
287,209389000
288,636015481
289,405000163
290,563002200
291,538007063
292,538006661
293,636016520
294,244790606
295,354998000
296,374625000
297,370209000
298,477790500
299,538009455
300,477884100
301,538009677
302,636019276
303,563666000
304,356478000
305,671098100
306,414066000
307,235103762
308,563129400
309,565626000
310,355036000
311,563117200
312,636020646
313,563121100
314,312900000
315,372746000
316,477560400
317,538005945
318,258102000
319,538004485
320,538006824
321,538004073
322,215268000
323,373031000
324,257556000
325,305141000
326,371960000
327,563127900
328,414109000
329,567999991
330,413360000
331,374268000
332,477233100
333,371873000
334,538005446
335,431655000
336,352978236
337,477269700
338,353988000
339,538006687
340,412362090
341,353093000
342,538004068
343,574000080
344,574001090
345,477654500
346,371769000
347,414307000
348,352544000
349,477213400
350,355327000
351,636092329
352,477250500
353,373351000
354,212287000
355,355692000
356,373403000
357,572382220
358,574464000
359,405000264
360,538008340
361,341260000
362,248197000
363,548908000
364,565402000
365,215150000
366,574000260
367,538008890
368,373054000
369,371128000
370,232018900
371,533132087
372,636019584
373,352001316
374,538008378
375,229204000
376,477719000
377,215181000
378,373355000
379,357705000
380,538004340
381,538006091
382,477244500
383,352898705
384,477347900
385,636020962
386,373180000
387,354532000
388,305997000
389,636015458
390,373500000
391,374155000
392,636017692
393,548974000
394,357017000
395,525005398
396,374286000
397,565096000
398,574238000
399,548085500
400,477938800
401,353426000
402,477767300
403,567503000
404,636017768
405,422036300
406,636017720
407,563001200
408,244117000
409,215965000
410,636017981
411,538003878
412,538002772
413,563071300
414,538007617
415,356222000
416,351038000
417,477131300
418,372059000
419,636017038
420,370393000
421,538090571
422,563118500
423,538005964
424,241048000
425,351550000
426,636019388
427,352531000
428,370240000
429,574000070
430,574904000
431,477842900
432,414551000
433,352978132
434,355871000
435,351326000
436,563161900
437,373485000
438,563081800
439,205717000
440,370423000
441,374645000
442,352374000
443,356778000
444,574492000
445,371061000
446,255806132
447,419000175
448,636017440
449,354625000
450,370896000
451,636018314
452,636015367
453,215131000
454,636018575
455,355173000
456,574471000
457,567273000
458,567495000
459,538006163
460,567000022
461,565101000
462,416466000
463,354091000
464,354863000
465,574459000
466,305187000
467,305933000
468,416468000
469,373271000
470,405000205
471,353345000
472,355722000
473,567104000
474,374999000
475,574407000
476,357454000
477,356832000
478,356758000
479,255805858
480,371567000
481,477519300
482,636017236
483,477318600
484,355477000
485,477661500
486,305973000
487,372377000
488,636020238
489,371693000
490,567000288
491,312773000
492,538005056
493,373774000
494,373431000
495,372348000
496,256761000
497,229969000
498,372125000
499,574002010
500,538004359
501,441763000
502,319213600
503,305860000
504,636017895
505,371181000
506,538006143
507,248285000
508,219080000
509,354690000
510,574004920
511,538007912
512,351700000
513,441823000
514,247285700
515,215930000
516,477696200
517,370616000
518,236607000
519,636015780
520,355555000
521,374782000
522,564811000
523,538008360
524,463042101
525,538003690
526,563125200
527,357359000
528,414776000
529,636013183
530,538006981
531,538008909
532,563912000
533,215626000
534,565807000
535,305161000
536,311000573
537,636019421
538,636092151
539,538008004
540,414338000
541,636015506
542,248724000
543,477265600
544,353201000
545,355033000
546,574862000
547,357276000
548,212540000
549,357869000
550,538002841
551,371601000
552,563058600
553,229607000
554,356668000
555,574001810
556,477721800
557,636021597
558,538010008
559,374213000
560,511100389
561,671069100
562,566340000
563,477057600
564,564661000
565,355443000
566,525003015
567,355304000
568,636019215
569,477392400
570,255805764
571,353086000
572,477948500
573,538003817
574,538005899
575,477078600
576,414174000
577,236325000
578,371286000
579,370453000
580,538006103
581,477861700
582,373001000
583,357648000
584,538004314
585,538005057
586,422036500
587,355532000
588,538008610
589,356880000
590,370391000
591,205790000
592,371549000
593,565970000
594,477633300
595,636017957
596,636020189
597,311000169
598,355959000
599,355891000
600,563088700
601,229657000
602,477560500
603,636013778
604,352888000
605,371168000
606,567428000
607,538007709
608,373239000
609,356048000
610,212180000
611,563907000
612,636018729
613,574583000
614,574001920
615,574274000
616,667001601
617,256071000
618,314647000
619,352980812
620,440049000
621,477328600
622,414112000
623,304010998
624,413148000
625,372245000
626,636015559
627,636014894
628,477407900
629,538004165
630,353640000
631,566238000
632,477243300
633,255806371
634,538008023
635,373549000
636,308015000
637,353968000
638,312685000
639,574948000
640,370333000
641,574311000
642,370471000
643,538007026
644,372817000
645,538007345
646,477202400
647,574000920
648,477514500
649,538004416
650,249819000
651,636013286
652,374883000
653,248729000
654,305538000
655,414369000
656,371141000
657,636020221
658,477591800
659,636021331
660,538009812
661,538007097
662,538006140
663,351170000
664,636092041
665,354958000
666,477189300
667,414057000
668,563052200
669,636092898
670,636018518
671,370205000
672,311000297
673,533131021
674,636092850
675,218843000
676,538008669
677,431080000
678,538007914
679,574340000
680,212557000
681,305002000
682,314484000
683,574001080
684,215011000
685,538003181
686,372918000
687,238179000
688,351158000
689,525125019
690,312747000
691,352001470
692,511100372
693,271048717
694,352361000
695,636015604
696,636016074
697,477387600
698,574000400
699,351849000
700,356540000
701,636015659
702,355262000
703,357848000
704,371897000
705,370329000
706,354822000
707,477968700
708,352715000
709,538009090
710,215577000
711,352500000
712,373386000
713,305347000
714,305276000
715,305409000
716,371169000
717,506005100
718,477598300
719,538003788
720,574000610
721,636016305
722,636091848
723,354727000
724,636017514
725,356309000
726,414771000
727,212347000
728,636013718
729,636017637
730,574003760
731,248614000
732,636017706
733,574972000
