Date,Quantity,src_country,dst_country
2018-01-01,623826664,Thailand,United Arab Emirates
2018-01-01,45719357,Thailand,Armenia
2018-01-01,190610373,Thailand,Angola
2018-01-01,25972070,Thailand,Australia
2018-01-01,34905800,Thailand,Bangladesh
2018-01-01,19704569,Thailand,Belgium
2018-01-01,7247955,Thailand,Benin
2018-01-01,439542,Thailand,Canada
2018-01-01,223000,Thailand,Switzerland
2018-01-01,1450000,Thailand,China
2018-01-01,60288,Thailand,Colombia
2018-01-01,254488,Thailand,Germany
2018-01-01,5117392,Thailand,Fiji
2018-01-01,3166200,Thailand,France
2018-01-01,247539,Thailand,United Kingdom
2018-01-01,1094410,Thailand,Guadeloupe
2018-01-01,634322,Thailand,Hong Kong
2018-01-01,2417051,Thailand,Indonesia
2018-01-01,362401,Thailand,Lao People's Democratic Republic
2018-01-01,2843402,Thailand,Mauritania
2018-01-01,23000,Thailand,Malaysia
2018-01-01,24024,Thailand,Netherlands
2018-01-01,1440000,Thailand,Papua New Guinea
2018-01-01,1500000,Thailand,Russian Federation
2018-01-01,49800,Thailand,Singapore
2018-01-01,260000,Thailand,Sierra Leone
2018-01-01,518810,Thailand,United States
2018-01-01,513030,Thailand,Viet Nam
2018-01-01,1430000,Thailand,Yemen
2018-02-01,613060229,Thailand,United Arab Emirates
2018-02-01,11490735,Thailand,Armenia
2018-02-01,212075408,Thailand,Angola
2018-02-01,48851979,Thailand,Australia
2018-02-01,7533500,Thailand,Bangladesh
2018-02-01,20886318,Thailand,Belgium
2018-02-01,7724544,Thailand,Benin
2018-02-01,1027279,Thailand,Canada
2018-02-01,18104003,Thailand,Congo
2018-02-01,312200,Thailand,Switzerland
2018-02-01,1100000,Thailand,China
2018-02-01,133700,Thailand,Germany
2018-02-01,1280000,Thailand,Spain
2018-02-01,556000,Thailand,Fiji
2018-02-01,3528778,Thailand,France
2018-02-01,52000,Thailand,United Kingdom
2018-02-01,10046,Thailand,Hong Kong
2018-02-01,601045,Thailand,Indonesia
2018-02-01,15,Thailand,Iceland
2018-02-01,24686,Thailand,Lao People's Democratic Republic
2018-02-01,46000,Thailand,Malaysia
2018-02-01,0,Thailand,Netherlands
2018-02-01,23000,Thailand,New Zealand
2018-02-01,1044000,Thailand,Papua New Guinea
2018-02-01,2497000,Thailand,Russian Federation
2018-02-01,22000,Thailand,Singapore
2018-02-01,75000,Thailand,Ukraine
2018-02-01,637500,Thailand,United States
2018-02-01,277677,Thailand,Viet Nam
2018-02-01,52000,Thailand,South Africa
2018-03-01,549228041,Thailand,United Arab Emirates
2018-03-01,180099308,Thailand,Angola
2018-03-01,78139141,Thailand,Australia
2018-03-01,8781094,Thailand,Bangladesh
2018-03-01,25102549,Thailand,Belgium
2018-03-01,19548187,Thailand,Benin
2018-03-01,1367280,Thailand,Canada
2018-03-01,88810,Thailand,Switzerland
2018-03-01,6292980,Thailand,Cameroon
2018-03-01,3678300,Thailand,China
2018-03-01,104014,Thailand,Germany
2018-03-01,1665000,Thailand,Spain
2018-03-01,1836255,Thailand,Fiji
2018-03-01,0,Thailand,France
2018-03-01,39269,Thailand,Hong Kong
2018-03-01,685280,Thailand,Indonesia
2018-03-01,118292,Thailand,Lao People's Democratic Republic
2018-03-01,260000,Thailand,New Zealand
2018-03-01,1986000,Thailand,Papua New Guinea
2018-03-01,3060000,Thailand,Russian Federation
2018-03-01,504,Thailand,Sweden
2018-03-01,10002,Thailand,Singapore
2018-03-01,975,Thailand,Ukraine
2018-03-01,319979,Thailand,United States
2018-03-01,144550,Thailand,Viet Nam
2018-03-01,0,Thailand,South Africa
2018-04-01,615223027,Thailand,United Arab Emirates
2018-04-01,155867887,Thailand,Angola
2018-04-01,50448270,Thailand,Australia
2018-04-01,208000,Thailand,Bangladesh
2018-04-01,15219767,Thailand,Belgium
2018-04-01,55694949,Thailand,Benin
2018-04-01,768017,Thailand,Canada
2018-04-01,267910,Thailand,Switzerland
2018-04-01,4361900,Thailand,Cameroon
2018-04-01,2076993,Thailand,China
2018-04-01,2,Thailand,Germany
2018-04-01,1540000,Thailand,Spain
2018-04-01,1144900,Thailand,Fiji
2018-04-01,3,Thailand,France
2018-04-01,18490,Thailand,United Kingdom
2018-04-01,105639,Thailand,Hong Kong
2018-04-01,485105,Thailand,Indonesia
2018-04-01,12900,Thailand,Lao People's Democratic Republic
2018-04-01,3000,Thailand,Malaysia
2018-04-01,0,Thailand,New Zealand
2018-04-01,1501976,Thailand,Papua New Guinea
2018-04-01,2496000,Thailand,Russian Federation
2018-04-01,0,Thailand,Sweden
2018-04-01,29636,Thailand,Singapore
2018-04-01,105085,Thailand,United States
2018-04-01,156310,Thailand,Viet Nam
2018-04-01,0,Thailand,South Africa
2018-05-01,640461928,Thailand,United Arab Emirates
2018-05-01,57368548,Thailand,Angola
2018-05-01,33416103,Thailand,Australia
2018-05-01,338805,Thailand,Bangladesh
2018-05-01,21964768,Thailand,Belgium
2018-05-01,3172786,Thailand,Benin
2018-05-01,1717713,Thailand,Canada
2018-05-01,88820,Thailand,Switzerland
2018-05-01,1020544,Thailand,Côte d'Ivoire
2018-05-01,7860450,Thailand,Cameroon
2018-05-01,2901800,Thailand,China
2018-05-01,40,Thailand,Germany
2018-05-01,1560000,Thailand,Spain
2018-05-01,1029400,Thailand,Fiji
2018-05-01,0,Thailand,France
2018-05-01,49200,Thailand,United Kingdom
2018-05-01,5022,Thailand,Hong Kong
2018-05-01,626020,Thailand,Indonesia
2018-05-01,0,Thailand,Lao People's Democratic Republic
2018-05-01,0,Thailand,Malaysia
2018-05-01,38000,Thailand,New Zealand
2018-05-01,2171000,Thailand,Papua New Guinea
2018-05-01,50000,Thailand,Russian Federation
2018-05-01,0,Thailand,Sweden
2018-05-01,134272,Thailand,Singapore
2018-05-01,50366,Thailand,United States
2018-05-01,258720,Thailand,Viet Nam
2018-05-01,52000,Thailand,South Africa
2018-06-01,630748049,Thailand,United Arab Emirates
2018-06-01,3570000,Thailand,Albania
2018-06-01,136186280,Thailand,Angola
2018-06-01,1255460,Thailand,Austria
2018-06-01,19507056,Thailand,Australia
2018-06-01,4153000,Thailand,Bangladesh
2018-06-01,28524591,Thailand,Belgium
2018-06-01,94359296,Thailand,Benin
2018-06-01,907191,Thailand,Canada
2018-06-01,0,Thailand,Switzerland
2018-06-01,0,Thailand,Côte d'Ivoire
2018-06-01,3364150,Thailand,Cameroon
2018-06-01,367300,Thailand,China
2018-06-01,68,Thailand,Germany
2018-06-01,1810000,Thailand,Spain
2018-06-01,0,Thailand,France
2018-06-01,37620,Thailand,United Kingdom
2018-06-01,8728,Thailand,Hong Kong
2018-06-01,793065,Thailand,Indonesia
2018-06-01,32000,Thailand,Israel
2018-06-01,103565,Thailand,Lao People's Democratic Republic
2018-06-01,0,Thailand,Malaysia
2018-06-01,0,Thailand,New Zealand
2018-06-01,1767976,Thailand,Papua New Guinea
2018-06-01,0,Thailand,Russian Federation
2018-06-01,0,Thailand,Sweden
2018-06-01,0,Thailand,Singapore
