World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Estimated Time of Arrival Message,Quarantine - Pratique,Quarantine - Sanitation,Quarantine - Other,Traffic Separation Scheme,Vessel Traffic Service,First Port of Entry,US Representative,Pilotage - Compulsory,Pilotage - Available,Pilotage - Local Assistance,Pilotage - Advisable,Tugs - Salvage,Tugs - Assistance,Communications - Telephone,Communications - Telefax,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,Search and Rescue,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Med Mooring,Facilities - Beach Mooring,Facilities - Ice Mooring,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Facilities - Other,Medical Facilities,Garbage Disposal,Chemical Holding Tank Disposal,Degaussing,Dirty Ballast Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Lifts - 100+ Tons,Lifts - 50-100 Tons,Lifts - 25-49 Tons,Lifts - 0-24 Tons,Services - Longshoremen,Services - Electricity,Services - Steam,Services - Navigation Equipment,Services - Electrical Repair,Services - Ice Breaking,Services - Diving,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Supplies - Aviation Fuel,Supplies - Deck,Supplies - Engine,Repairs,Dry Dock,Railway,Latitude,Longitude
4580,US Lake Michigan -- 4570,St. James Harbor, , ,United States,Lake Michigan; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,14911, , ,gen28a,0,0,3.4,9.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,No,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,No,No,Yes,Unknown,Unknown,Unknown,No,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Emergency Only,Unknown,Unknown,45.733333,-85.516667
63110,Antarctica -- 63060,Melchior Harbor, , ,Antarctica,South Pacific Ocean, ,Sailing Directions Pub. 200 (Planning Guide & Enroute) - Antarctica,29106, , ,"coa29c, gen29c",0,0,4.9,23.2,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,Unknown,Yes,Yes,Unknown,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,VI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,None,Unknown,Unknown,-64.316667,-63
52350,Sulawesi -- 51970,Donggala, , ,Indonesia,Makassar Strait; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72171, , ,"coa04c, gen04c",4,0,23.2,23.2,1.8,1.8,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,XI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,Unknown,Unknown,Unknown,Emergency Only,Unknown,Unknown,-0.65,119.733333
46544,Angola -- 46540,Psvm Terminal, , ,Angola,South Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,57240, , ,"coa01c, gen01b",0,0,23.2,23.2,23.2,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,VII,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-6.25,10.733333
56820,Bismarck Archipelago -- 56700,Kokopo, , ,Papua New Guinea,Bismarck Sea; South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,82192, , ,"a0556810, coa05g, gen05a",2,0,23.2,17.1,1.8,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,No,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,X,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,No,No,No,Unknown,Unknown,Yes,Yes,No,No,Unknown,No,No,Limited,Unknown,Unknown,-4.333333,152.266667
44270,Russia -- 44030,Adler,Mezyumata, ,Russia,Black Sea; North Atlantic Ocean, ,Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office),55170, , ,"coa10a, gen10b",0,0,23.2,9.4,3.4,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Yes,Yes,Yes,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,III,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,43.433333,39.933333
63080,Antarctica -- 63060,Scotia Bay, , ,Antarctica,Scotia Sea; South Atlantic Ocean, ,Sailing Directions Pub. 200 (Planning Guide & Enroute) - Antarctica,29107, , ,"coa29d, gen29d, h2963080",0,0,23.2,14,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,Unknown,Unknown,Yes,Yes,No,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,VI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-60.75,-44.716667
5980,Cape Breton Island -- 5860,Little Bras D Or, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence, , , ,"a1805860, coa18b, gen18b, h1805980",3,0,3.4,6.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Yes,Yes,Unknown,Unknown,No,No,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Yes,No,No,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,46.25,-60.3
47620,Madagascar -- 47350,Iharana, , ,Madagascar,Indian Ocean, ,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,61560, , ,"coa02d, gen02b",8,0,14,14,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,VII,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,Unknown,No,No,Emergency Only,Unknown,Unknown,-13.35,50
14020,South Georgia -- 14010,Prince Olav Harbor, , ,South Georgia and South Sandwich Islands,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,29040, , ,"coa01k, gen01d",0,0,0,23.2,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,VI,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-54.033333,-37.15
