Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Apr 2020)","FOB (BAHT)(Apr 2020)","Quantity (Jan - Apr 2020)","FOB (BAHT)(Jan - Apr 2020)"
2563,4,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",11,2592,12,2622
2563,4,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1260610,51008877,3937955,152765798
2563,4,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",600,27355,18880,702704
2563,4,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,4,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",1009823,48856244,1953829,92395382
2563,4,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,4,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",72400,2497786,881176,30012582
2563,4,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",2844030,61473401,5675563,120904026
2563,4,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",23000,603668,46000,1161355
2563,4,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,4,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",492740,7837083,6083828,82974112
2563,4,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
2563,4,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",404122,9308559,2986901,46459199
2563,4,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",367,36000,367,36000
2563,4,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",18217,1446377,142400,10107763
