Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Dec 2021)","FOB (BAHT)(Dec 2021)","Quantity (Jan - Dec 2021)","FOB (BAHT)(Jan - Dec 2021)"
2564,12,2,US,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,3,66
2564,12,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",48,1710,55,3103
2564,12,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",866668,28986387,8331864,275994989
2564,12,2,US,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,735,25380
2564,12,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3240,112659,35820,1243702
2564,12,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",99722,5152768,2867288,132844754
2564,12,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",10000,608107,226000,9518107
2564,12,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,987582,34419974
2564,12,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",659618,16231649,7871712,179573084
2564,12,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,12,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,81,11277
2564,12,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",109831,2185238,15140747,239817965
2564,12,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,15549000,231070618
2564,12,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",471440,8490281,26166040,359114724
2564,12,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28186
2564,12,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",26098,1986744,1409482,38350676
2564,12,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,80
2564,12,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",6040,315598,37202,2326146
2564,12,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,363,56940
2564,12,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",144,11239,1044,75498
2564,12,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",806000,11260714,18177124,262980136
2564,12,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",21152,1009302,506273,22551437
2564,12,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",172409,5834835,4823734,110607091
2564,12,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",44800,2412256,467549,25781948
2564,12,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",46668,2880959,546829,34539068
2564,12,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",130713,6542591,1516168,79450490
2564,12,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",17074,1340146,246025,17831434
2564,12,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",48900,3001522,165782,11535261
2564,12,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",2000,119345,23000,1418900
2564,12,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,44000,2233589
2564,12,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",238898,9177724,1680890,71436300
2564,12,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",178108,8307977,2539234,114446381
2564,12,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",11640,814812,308532,19058159
2564,12,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",7980,565665,132313,8149480
2564,12,2,AU,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,4000,214276
2564,12,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,12,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",101842,5296034,1209234,69773547
2564,12,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",76591,4176629,1025442,58963912
2564,12,2,DE,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,3000,210570
2564,12,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",4000,309581,17500,1213350
2564,12,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",6600,346979,152356,7737596
