Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2020)","FOB (BAHT)(Feb 2020)","Quantity (Jan - Feb 2020)","FOB (BAHT)(Jan - Feb 2020)"
2563,2,2,GB,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,1,30
2563,2,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",872736,32025493,1544247,57510342
2563,2,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",13480,474953,17200,620778
2563,2,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",266559,12622653,568952,25806541
2563,2,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,2,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",356800,11884296,448988,15118875
2563,2,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",884759,18980834,1679992,35207760
2563,2,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,23000,557687
2563,2,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,2,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",1842076,24047534,3013332,39768360
2563,2,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",57000,1374753,173000,4128763
2563,2,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",718432,10831905,1505512,22044456
2563,2,2,HK,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",49695,2998090,73995,4953095
2563,2,2,HK,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",4800,286528,4800,286528
2563,2,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",5990200,76165473,10919200,138100568
2563,2,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",68815,3618020,135252,7048646
2563,2,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",164200,6249130,380240,13991313
2563,2,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",21980,1362760,74420,4510858
2563,2,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",71960,3156424,157789,7644893
2563,2,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",134592,7421837,335293,17710638
