Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jan 2020)","FOB (BAHT)(Jan 2020)","Quantity (Jan - Jan 2020)","FOB (BAHT)(Jan - Jan 2020)"
2563,1,2,GB,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",1,30,1,30
2563,1,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",671511,25484849,671511,25484849
2563,1,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3720,145825,3720,145825
2563,1,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",302393,13183888,302393,13183888
2563,1,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",14600,817283,14600,817283
2563,1,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",92188,3234579,92188,3234579
2563,1,2,DE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",795233,16226926,795233,16226926
2563,1,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",23000,557687,23000,557687
2563,1,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",1200,116387,1200,116387
2563,1,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",1171256,15720826,1171256,15720826
2563,1,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",116000,2754010,116000,2754010
2563,1,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",787080,11212551,787080,11212551
2563,1,2,HK,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",24300,1955005,24300,1955005
2563,1,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",4929000,61935095,4929000,61935095
2563,1,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",66437,3430626,66437,3430626
2563,1,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",216040,7742183,216040,7742183
2563,1,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",52440,3148098,52440,3148098
2563,1,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",85829,4488469,85829,4488469
2563,1,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",200701,10288801,200701,10288801
2563,1,2,NZ,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",14000,915410,14000,915410
2563,1,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",8141,742167,8141,742167
2563,1,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",1006,69269,1006,69269
2563,1,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",2,57,2,57
2563,1,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",204605,11410019,204605,11410019
2563,1,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",207151,12550794,207151,12550794
2563,1,2,CA,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",30657,1913165,30657,1913165
2563,1,2,HK,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",91927,5353486,91927,5353486
2563,1,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",3,60,3,60
