Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jul 2020)","FOB (BAHT)(Jul 2020)","Quantity (Jan - Jul 2020)","FOB (BAHT)(Jan - Jul 2020)"
2563,7,2,LU,10061010,002,KGM,"Glutinous rice in the husk (KGM)",0,31,0,31
2563,7,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,12,2654
2563,7,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",700235,27860567,6860981,270464720
2563,7,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,5000,289151
2563,7,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1920,92845,36520,1486950
2563,7,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,7,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",285390,14015910,3134804,150831167
2563,7,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,7,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",2988,271129,884164,30283711
2563,7,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1125981,24416792,9490673,209096759
2563,7,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,69000,1751160
2563,7,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,7,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",189216,6852136,6336335,91490435
2563,7,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
