Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2020)","FOB (BAHT)(Jun 2020)","Quantity (Jan - Jun 2020)","FOB (BAHT)(Jan - Jun 2020)"
2563,6,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,32,12,2654
2563,6,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",770212,31077302,6160746,242604153
2563,6,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",5000,289151,5000,289151
2563,6,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1200,61355,34600,1394105
2563,6,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,6,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",427971,21968966,2849414,136815257
2563,6,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,6,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,881176,30012582
2563,6,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1657559,37934284,8364692,184679967
2563,6,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",23000,589805,69000,1751160
2563,6,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,6,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",50625,1412035,6147119,84638299
2563,6,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
2563,6,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",38000,1082734,95000,2735918
2563,6,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",461448,10620029,4070533,69907300
2563,6,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,367,36000
2563,6,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",16782,1268144,215096,15247869
2563,6,2,CA,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",4003,221836,15739,948838
2563,6,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,192,13612
2563,6,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1266200,21689618,22027560,297002599
2563,6,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",55208,2851278,464615,24852614
2563,6,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",220744,7742786,1294476,49038119
2563,6,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",80580,4995960,308980,19059544
2563,6,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",40773,3379520,374706,24430570
2563,6,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",117927,7228900,903292,52440058
2563,6,2,CH,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",7007,752305,101033,7188183
2563,6,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",28908,1961640,72273,5556024
2563,6,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",4000,279865,16506,1186755
2563,6,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,506,48782
2563,6,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",169108,9916159,1031834,59306107
2563,6,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",161675,9961526,1683023,98821821
2563,6,2,BE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",45522,3071701,321589,20577073
2563,6,2,CA,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",3425,277425,199614,12532004
2563,6,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,2003,117683
