Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2021)","FOB (BAHT)(Mar 2021)","Quantity (Jan - Mar 2021)","FOB (BAHT)(Jan - Mar 2021)"
2564,3,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",843774,27538238,2239600,73639700
2564,3,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",120,3117,14760,473282
2564,3,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",492322,21163434,1001986,44336884
2564,3,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",216000,8910000,216000,8910000
2564,3,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",334500,11540235,450482,15780511
2564,3,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",781866,16748537,2529072,54525669
2564,3,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",11,1080,11,1080
2564,3,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",1,297,1,297
2564,3,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",52000,924638,219202,3907829
2564,3,2,CA,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1202980,18010718,2775530,40498406
2564,3,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28160
2564,3,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",21448,1206633,87092,5363792
2564,3,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",4400,203656,9300,465572
2564,3,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,3,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",6376214,98161709,8977364,135619684
2564,3,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",43908,1877258,139857,6123285
2564,3,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",1762300,28073940,2120021,39574766
2564,3,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",40000,2260600,88600,5007229
2564,3,2,AU,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",97229,4463379,248482,14080177
2564,3,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",199558,9928842,479497,24163391
2564,3,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",65229,4222008,127267,8754863
2564,3,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",46912,3143963,80550,5550589
2564,3,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",1000,56224,1000,56224
2564,3,2,CA,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",189329,7945114,425092,18129232
2564,3,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",215479,10376688,666062,31473672
2564,3,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",21711,1304798,100909,6829516
2564,3,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",30110,1804435,83697,4859958
2564,3,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,3,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",104622,5792434,321189,18899114
2564,3,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",107897,6037469,311238,17132238
2564,3,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",1000,70503,1000,70503
2564,3,2,HK,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",11032,515127,24338,1189537
2564,3,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",7200,483895,8304,539301
2564,3,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",1200,54858,11100,1028444
2564,3,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",5520,621877,14312,1578855
2564,3,2,SG,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",50,1956,50,1956
2564,3,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",11164158,268733775,33822173,793121148
2564,3,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,3,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,3,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",255555,5348632,646500,16410291
2564,3,2,IT,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,2040,80201
2564,3,2,KR,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",0,0,1,388
2564,3,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",93045117,2643479400,286691907,8106032163
2564,3,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",244902,6140150,280749,7157170
2564,3,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",80000,1923607,86920,2107743
2564,3,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",4000,94992,105190,2653066
2564,3,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1298964,59111484,3510134,156651932
2564,3,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,2700,237083
2564,3,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",45263259,711013261,235212577,3510466910
2564,3,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",543000,8635785,1877084,32686875
2564,3,2,BJ,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",14131558,205527003,29315726,419713749
2564,3,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",214945,3657406,271890,4709112
2564,3,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,1499050,19399320
2564,3,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",34829370,777167323,79377789,1797931334
2564,3,2,CA,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",482929,12693435,1645834,38707804
2564,3,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",174000,3842878,1120000,27462079
2564,3,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",625689,13405337,1219429,26629495
2564,3,2,CM,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",1007801,16687832,1007805,16687904
2564,3,2,AU,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",13761153,222481836,121331347,1798319447
2564,3,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",21049059,332049053,137042504,2016871705
2564,3,2,AU,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",687200,10752087,2107800,32270295
2564,3,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1000425,18742181,2661249,48434135
2564,3,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",257630,5259628,719900,14748725
2564,3,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",0,0,400000,5419503
2564,3,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",645000,11924757,2297000,41819811
2564,3,2,HK,10063099,090,KGM,"Other (KGM)",3916,674157,15447,3353730
2564,3,2,AE,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2500,106125,2500,106125
2564,3,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",724970,17915476,1812530,45000083
2564,3,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",12116700,182026155,55457353,830276243
