Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (May 2019)","FOB (BAHT)(May 2019)","Quantity (Jan - May 2019)","FOB (BAHT)(Jan - May 2019)"
2562,5,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,4,97
2562,5,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",651351,26310736,3946019,154046529
2562,5,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",6544,281108,37936,1581312
2562,5,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",336044,15502873,1527714,68496582
2562,5,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,17000,971814
2562,5,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,803790,26772481
2562,5,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",980512,24524249,5606891,133071036
2562,5,2,ES,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,480,28259
2562,5,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",0,0,89200,2971077
2562,5,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",7534,151522,7612,159375
2562,5,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",154050,3778739,6912236,97351781
2562,5,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",95000,2489712,483000,13092611
2562,5,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",859883,13502448,3845873,62570393
2562,5,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",44541,2903733,141995,9274393
2562,5,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",28909,1691002,204114,12121921
2562,5,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",21006,1744351,246710,15691797
2562,5,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",10526000,138307748,43731600,580125523
2562,5,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",114002,6013355,417921,20529532
2562,5,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",118551,7708815,1138473,58876741
2562,5,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",507267,29408290,2880059,148546886
2562,5,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",279332,17157616,869056,48774391
2562,5,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",23600,1416000,125760,7548611
2562,5,2,VN,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,180000,3763800
