Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2020)","FOB (BAHT)(Oct 2020)","Quantity (Jan - Oct 2020)","FOB (BAHT)(Jan - Oct 2020)"
2563,10,2,LU,10061010,002,KGM,"Glutinous rice in the husk (KGM)",0,0,0,31
2563,10,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",4,33,57,24318
2563,10,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",652844,23522542,9175335,358828469
2563,10,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,5000,289151
2563,10,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1440,59041,43560,1747720
2563,10,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,10,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",306362,14646907,4320279,209024669
2563,10,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,10,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,884164,30283711
2563,10,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1266124,26059771,13856366,300803086
2563,10,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,69000,1751160
2563,10,2,SG,10062090,005,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",0,0,1250,68998
2563,10,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",14,694,1214,117081
2563,10,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",51552,1792406,11488472,164381416
2563,10,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",10000000,134651170,10173000,138779933
2563,10,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",19000,470932,133000,3679272
2563,10,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",8919540,131238196,13862093,217154741
2563,10,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,709,88600
2563,10,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",29130,2597112,348101,24818314
2563,10,2,CA,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",3600,220842,23979,1455034
