Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Sept 2020)","FOB (BAHT)(Sept 2020)","Quantity (Jan - Sept 2020)","FOB (BAHT)(Jan - Sept 2020)"
2563,9,2,LU,10061010,002,KGM,"Glutinous rice in the husk (KGM)",0,0,0,31
2563,9,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",1,31,53,24285
2563,9,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",742188,28096562,8522491,335305927
2563,9,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,5000,289151
2563,9,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",600,31236,42120,1688679
2563,9,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,9,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",365329,18402052,4013917,194377762
2563,9,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,9,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,884164,30283711
2563,9,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1446155,30625795,12590242,274743315
2563,9,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,69000,1751160
2563,9,2,SG,10062090,005,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",1250,68998,1250,68998
2563,9,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,9,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",5083377,70438737,11436920,162589010
2563,9,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
2563,9,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",19000,472422,114000,3208340
2563,9,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",120530,2076750,4942553,85916545
2563,9,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,709,88600
2563,9,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",24809,1629906,318971,22221202
2563,9,2,CA,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",4300,264619,20379,1234192
2563,9,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,192,13612
2563,9,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1476200,21767804,26559260,366852558
2563,9,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",38437,1881545,576056,30540029
2563,9,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",212667,7171108,2040880,75116262
2563,9,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",33400,1852570,461740,27432589
2563,9,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",52054,4439414,609481,41355466
